17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun
10,30,50,40,30,50,70,70,90,50,50,90
260,210,260,260,210,210,320,320,210,320,390,480
50,50,90,70,30,20,30,40,70,50,70,140
10,10,10,10,10,10,10,30,10,10,10,10
110,110,90,50,70,70,90,90,50,90,110,140
30,40,40,40,50,40,70,70,50,40,50,30
20,10,20,10,10,10,20,10,10,20,20,10
10,10,10,10,10,10,20,30,10,10,20,30
0,10,10,10,10,10,10,10,10,20,30,30
170,70,110,110,90,110,170,210,260,210,320,210
20,20,30,30,20,20,10,20,10,10,10,10
320,140,210,320,260,260,320,210,170,480,320,320
10,10,10,10,10,0,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,0
210,210,210,260,210,170,210,210,260,210,210,260
10,10,10,10,10,10,10,10,10,10,10,10
210,170,170,170,170,170,140,170,140,170,170,170
20,10,10,20,10,10,10,10,10,10,30,40
110,110,90,90,110,70,90,70,70,90,110,140
20,30,20,10,10,30,30,20,20,30,20,10
40,30,30,40,20,20,70,40,70,50,40,40
170,140,110,140,90,70,90,140,110,140,110,110
20,20,20,30,40,30,30,50,40,30,30,10
30,40,40,70,110,140,320,1000,590,140,90,90
10,10,10,0,0,10,10,5400,70,10,10,10
20,20,10,40,30,30,40,70,90,50,50,30
50,50,70,70,110,140,210,720,90,70,70,70
20,10,10,10,10,10,10,10,10,10,10,10
50,40,40,20,50,50,70,110,110,110,90,70
210,210,170,170,170,170,170,140,140,170,210,210
0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,10,10,0,10,10,20,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
210,210,210,210,210,170,210,210,210,210,210,210
20,10,10,30,20,20,50,70,140,90,110,50
110,140,70,70,50,50,70,70,40,90,90,70
110,90,90,70,70,70,90,110,110,90,90,70
30,30,30,20,30,30,40,40,30,40,50,30
10,10,10,10,10,10,10,10,10,10,10,10
40,10,10,10,10,10,10,20,110,210,210,70
40,20,20,10,20,20,40,50,90,110,70,40
0,0,0,0,0,10,10,0,0,0,0,0
110,90,110,110,110,110,110,70,90,70,110,110
70,110,90,70,90,110,140,880,50,50,90,210
10,10,10,10,10,10,10,10,10,10,10,10
20,20,20,30,40,50,30,30,20,70,70,110
40,20,20,20,30,20,30,40,20,50,50,50
10,10,20,10,10,10,10,10,20,40,40,20
110,260,140,170,110,90,140,90,140,90,140,260
40,40,40,50,20,30,20,20,20,20,20,30
8100,8100,8100,8100,9900,9900,8100,8100,8100,8100,8100,8100
30,20,10,10,10,20,40,30,50,40,40,40
110,90,70,70,90,90,110,90,110,140,170,170
10,0,0,10,10,10,10,10,10,10,10,10
260,260,260,320,260,320,390,320,260,320,390,390
10,10,10,10,10,10,10,20,40,20,20,10
30,40,50,20,20,30,20,20,20,30,50,70
20,20,20,10,30,20,30,20,10,10,20,50
110,70,50,70,70,70,50,110,210,320,170,110
50,50,20,20,20,20,40,50,20,20,110,90
50,50,50,50,40,40,40,40,40,50,50,70
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
90,50,70,70,50,30,40,50,40,110,140,260
40,10,20,40,30,10,30,40,70,50,40,30
20,20,30,20,40,50,110,210,210,140,70,30
0,10,10,10,10,10,10,10,10,20,20,10
30,30,30,20,40,30,70,260,40,20,30,20
90,70,40,40,20,40,40,70,70,110,140,110
10,10,20,10,10,10,20,10,10,10,10,30
30,30,20,50,50,30,50,30,30,10,70,30
10,0,10,10,0,0,0,10,0,0,0,0
10,0,0,0,0,0,10,10,0,10,20,10
20,50,50,20,10,10,20,30,20,20,10,10
210,110,110,170,210,210,590,480,110,90,140,260
30,20,30,20,20,20,20,20,20,10,10,30
30,30,40,30,40,30,50,70,90,70,40,70
40,30,30,40,40,30,30,40,30,40,50,40
10,20,20,10,20,10,10,10,20,50,50,30
20,20,10,10,30,40,70,50,70,50,70,50
10,10,10,10,10,10,10,10,10,10,10,10
210,70,50,40,90,140,170,140,20,10,90,390
20,20,20,70,70,70,140,260,140,70,20,20
260,210,210,260,260,320,260,260,320,260,260,320
480,390,480,480,390,320,390,390,320,320,320,260
170,110,140,170,140,110,140,140,90,70,70,90
10,10,10,10,10,10,20,30,40,20,10,10
320,260,260,140,110,110,140,110,70,140,140,70
30,30,30,40,20,30,50,320,50,20,10,10
30,30,40,70,90,90,90,50,70,50,50,40
10,10,10,10,0,10,10,0,10,0,0,10
2900,4400,2900,2900,2900,2400,3600,9900,3600,1900,1900,3600
30,20,10,30,20,20,20,20,30,10,20,20
110,70,110,110,70,90,140,480,140,90,140,140
70,50,30,30,30,10,30,10,30,10,40,30
9900,9900,9900,9900,9900,9900,12100,9900,9900,12100,12100,12100
10,10,10,10,10,10,30,10,10,30,10,40
210,210,260,260,260,170,260,210,170,170,260,210
110,70,50,30,30,40,20,20,20,30,70,110
20,40,50,20,10,10,20,10,10,20,30,40
30,20,20,30,10,20,20,30,70,50,20,20
30,30,20,30,50,20,40,30,30,40,40,30
50,70,40,40,40,40,40,50,90,50,70,70
10,10,10,10,10,10,0,10,10,10,10,10
50,20,30,10,10,10,10,20,30,70,110,90
90,90,90,110,70,70,110,90,90,110,90,70
10,10,10,10,10,20,30,30,10,10,10,20
40,50,40,40,40,40,30,40,50,50,30,40
20,10,10,10,10,10,10,10,10,10,10,10
70,40,30,30,30,30,50,40,50,50,40,20
10,10,10,10,10,10,10,10,10,10,20,10
140,110,90,110,140,110,140,90,110,140,140,170
50,40,70,50,50,50,70,50,50,50,40,50
10,10,10,10,10,10,10,10,10,10,0,10
170,170,210,170,140,140,110,110,90,140,140,170
140,50,30,90,70,50,70,70,260,390,320,170
30,10,10,10,10,10,20,30,10,10,20,40
90,90,90,90,40,50,90,70,50,70,70,50
170,110,70,50,140,90,110,720,70,70,70,90
20,20,10,10,10,10,20,10,10,10,20,20
90,70,50,70,50,70,70,90,140,170,210,110
70,320,320,140,90,50,50,70,30,20,30,50
40,20,170,50,40,40,90,480,40,20,40,50
110,30,40,20,50,70,70,50,10,1900,1900,70
70,90,70,50,50,70,70,50,70,70,70,70
70,110,110,70,70,70,110,110,110,70,110,110
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,20,10,20,10
20,10,10,10,20,20,20,20,40,40,30,20
10,10,10,10,10,10,10,10,10,10,20,10
10,10,10,10,10,10,10,10,10,10,0,10
90,110,50,50,70,70,110,70,50,70,70,140
40,30,10,30,20,10,20,20,20,10,20,20
70,40,30,40,40,70,90,170,210,320,480,260
10,0,0,10,10,10,10,0,10,10,10,30
10,10,10,10,10,10,10,10,10,10,10,10
30,30,20,20,20,20,30,20,30,10,20,40
20,50,40,30,20,30,40,20,30,20,30,10
10,10,70,20,10,10,20,320,20,10,10,10
10,10,20,10,10,10,10,10,10,30,20,20
10,10,20,20,10,10,20,10,10,10,20,10
40,30,30,10,20,20,10,10,10,30,20,20
40,70,70,210,70,90,70,70,90,70,90,110
90,210,40,210,10,10,10,10,10,10,10,70
10,10,10,10,10,10,10,10,10,10,10,0
10,0,10,0,0,0,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
90,40,110,170,170,140,170,50,20,20,30,90
10,10,0,10,10,0,10,10,10,10,10,10
10,20,20,10,10,10,10,10,20,20,40,20
20,20,10,20,20,20,20,20,30,30,40,30
40,30,10,20,40,20,50,90,110,50,40,50
10,10,10,10,10,0,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
320,90,30,20,30,40,50,30,10,10,10,70
10,10,10,10,20,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
40,90,70,70,30,50,40,70,50,30,70,50
10,10,10,20,10,10,10,10,10,10,10,10
50,70,70,70,50,70,110,590,110,70,70,90
10,10,10,10,10,10,10,10,10,10,10,10
10,0,0,10,10,10,10,10,10,10,10,0
0,0,10,10,0,10,10,10,10,0,10,10
10,10,10,10,10,10,10,10,10,10,0,30
10,10,10,10,10,10,10,0,10,20,10,10
10,10,10,10,10,10,10,10,10,10,10,10
110,70,50,50,50,40,50,70,210,170,140,110
10,20,20,10,10,10,10,10,10,20,20,20
10,10,10,10,10,10,40,70,140,90,210,140
10,0,0,10,10,10,10,10,10,10,10,10
40,40,30,40,30,30,30,30,20,20,40,30
10,10,10,10,10,0,10,10,10,20,10,10
30,50,70,40,50,20,50,20,70,40,30,30
10,10,30,10,10,10,10,10,10,10,10,10
10,10,10,10,20,10,10,10,10,10,10,10
10,10,0,10,10,10,10,10,0,10,10,10
50,50,50,40,40,50,50,50,40,40,20,20
20,20,20,20,20,20,20,20,10,10,30,20
20,10,10,0,10,10,10,10,10,10,10,10
10,10,20,10,10,10,10,20,20,20,30,10
70,30,50,50,20,30,30,10,40,20,50,30
10,10,0,0,0,0,10,0,10,10,10,10
30,30,20,20,40,50,30,30,40,40,70,30
20,10,10,20,20,10,20,30,20,20,20,20
90,70,90,50,50,40,40,40,40,30,110,170
40,40,40,70,50,50,70,70,110,50,50,50
20,20,20,10,10,10,10,10,30,10,10,10
20,10,10,10,20,10,20,20,70,90,70,40
10,20,10,20,20,20,20,10,20,20,10,10
50,50,40,50,30,50,50,140,40,20,40,40
50,20,30,20,20,30,50,720,70,30,30,30
10,10,10,10,20,10,10,30,70,110,70,20
20,20,20,30,20,30,50,30,50,30,50,50
40,50,20,40,40,20,30,90,30,30,30,30
10,10,10,10,20,10,10,10,10,20,30,10
10,10,10,10,10,10,10,10,10,10,10,10
140,90,70,70,90,70,90,70,90,140,170,90
50,40,30,20,10,10,10,10,20,20,30,40
40,20,10,20,10,20,20,20,50,90,90,50
50,30,20,40,20,20,30,20,30,30,70,40
10,10,10,10,10,10,10,10,10,10,0,0
20,20,10,10,10,10,10,10,10,10,10,10
50,10,10,10,10,10,30,50,70,50,40,40
20,10,50,10,30,10,30,20,20,20,30,30
10,10,10,10,10,10,10,10,10,10,10,10
50,40,40,40,30,20,50,40,50,30,40,20
10,10,10,10,20,20,20,40,70,70,40,20
20,10,10,10,20,20,30,40,10,20,30,70
30,40,30,30,20,10,40,30,40,20,30,30
40,30,20,20,20,20,30,30,90,140,90,50
90,40,20,20,20,30,90,70,110,260,320,260
30,20,10,10,20,10,20,50,90,110,50,40
30,40,30,30,30,40,30,90,90,70,40,50
10,10,0,10,10,10,0,10,10,10,10,10
70,30,40,40,40,30,50,70,40,50,30,40
10,10,10,10,10,10,10,10,10,0,10,10
30,30,30,20,10,10,20,30,40,30,40,40
10,0,0,0,10,0,0,10,10,0,10,10
10,10,10,10,10,10,20,10,20,10,10,10
40,50,70,90,70,50,70,40,90,50,70,70
0,10,0,0,0,10,0,10,10,0,0,0
20,30,30,30,10,10,50,70,90,20,30,20
20,20,30,20,40,20,20,30,30,20,40,20
50,50,70,50,50,50,50,1000,40,50,50,50
10,10,0,10,0,10,10,10,10,10,10,10
0,10,0,0,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,40
30,10,10,20,10,10,10,40,140,210,70,20
50,50,40,40,50,40,50,70,50,70,40,70
10,10,10,30,10,10,10,10,10,10,10,20
20,30,30,30,10,20,40,10,20,20,40,30
10,10,10,10,10,20,40,70,110,390,90,70
70,70,110,70,50,50,70,70,70,70,70,50
50,70,40,40,30,30,30,30,30,30,30,70
90,90,90,70,90,110,140,260,50,50,50,70
6600,8100,6600,5400,6600,8100,8100,8100,6600,8100,8100,8100
20,20,10,20,10,20,20,20,30,20,20,10
10,10,10,40,10,10,10,10,10,10,10,10
10,10,10,10,10,0,10,0,10,10,20,30
10,10,10,0,10,10,10,10,10,10,10,10
30,10,10,0,10,10,10,10,10,20,90,50
30,50,30,20,20,10,30,40,20,20,30,30
10,10,10,20,20,10,10,20,70,140,50,40
0,10,10,10,10,10,10,10,10,10,10,20
30,10,10,20,10,10,20,10,10,10,10,20
10,10,10,10,10,10,20,140,10,10,10,10
10,10,10,10,10,10,20,10,10,10,10,10
0,10,10,10,10,0,0,0,0,0,0,0
20,10,10,10,10,20,20,20,10,10,10,10
10,10,10,10,30,10,20,10,10,10,10,10
90,140,140,480,260,170,170,140,110,90,170,140
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,20,10,10,10,30,20,10
20,50,20,20,10,20,20,30,20,20,20,20
30,50,10,20,0,0,0,0,10,10,0,30
20,10,10,10,10,40,20,10,70,110,90,40
50,50,40,70,70,50,90,110,140,40,70,110
40,40,40,40,40,50,260,210,90,90,90,50
10,10,10,10,10,10,20,10,10,10,10,10
20,10,10,10,10,10,10,10,20,20,40,20
0,0,10,0,0,0,10,0,10,10,10,0
20,10,10,10,10,10,20,30,50,30,20,20
10,70,20,20,10,10,10,20,20,50,50,50
70,50,70,70,50,70,50,50,30,40,90,40
0,0,0,0,0,0,0,0,0,0,10,10
10,10,10,10,0,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,20
50,40,90,110,70,70,70,70,50,70,70,40
30,50,50,50,50,140,50,90,30,50,50,40
10,10,20,10,10,10,10,10,20,30,70,50
10,10,10,10,10,10,10,20,50,70,30,20
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,20,10,10,30,20,10,10,10,20
10,10,20,10,10,10,20,10,20,10,10,10
70,30,20,40,40,40,40,20,30,70,50,40
10,20,30,20,20,10,20,50,50,40,30,20
10,0,0,20,0,0,0,0,10,0,10,0
30,40,30,40,40,40,50,30,30,30,30,30
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,90,20,10,30,10
10,10,10,10,10,10,10,10,10,10,10,0
70,50,40,30,40,40,30,50,110,90,90,110
10,30,70,70,140,110,140,170,50,30,40,30
10,10,10,10,10,10,10,10,10,10,10,10
20,30,20,30,20,30,40,30,30,30,40,30
20,20,20,20,10,10,10,10,20,20,20,20
10,10,10,10,10,10,10,10,20,30,10,20
10,10,10,10,10,10,10,10,20,20,30,20
10,10,20,10,10,10,10,10,10,10,10,20
20,10,20,10,20,10,20,10,20,30,20,20
30,20,10,20,20,20,20,20,10,10,20,20
30,20,20,40,40,20,50,40,40,30,40,20
70,40,20,10,10,10,10,10,10,10,10,10
50,70,70,90,40,50,70,50,30,40,50,30
10,10,10,10,10,30,10,10,0,10,10,10
10,10,0,0,10,0,0,10,10,10,10,10
10,10,30,10,10,20,10,10,40,20,20,10
10,10,20,10,10,10,10,30,140,170,90,40
10,10,10,0,10,10,10,10,10,0,10,10
40,30,20,50,40,30,30,20,50,30,40,40
10,10,10,10,30,20,20,10,10,10,10,10
30,40,30,40,30,30,50,40,30,40,40,40
10,0,10,10,10,10,10,10,10,10,10,10
20,20,10,20,10,30,20,20,50,30,70,30
10,10,10,30,20,10,20,20,20,20,10,10
10,10,0,10,10,10,10,10,10,10,10,10
10,10,10,10,10,0,0,10,10,10,10,10
0,0,10,0,0,0,0,0,0,0,0,0
40,10,10,20,20,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,20,20,20,10
20,10,20,20,10,10,10,30,20,30,20,10
10,10,10,10,10,10,10,10,20,10,10,10
10,10,10,10,10,10,10,10,20,10,10,30
10,10,10,10,10,10,10,40,10,10,10,10
30,30,30,30,40,30,30,50,30,40,30,30
10,10,10,20,10,10,10,20,90,40,30,30
50,20,20,40,40,50,70,90,70,70,140,140
70,30,30,70,40,30,40,50,40,30,70,50
30,20,20,50,30,20,30,20,40,40,50,50
30,10,10,10,10,10,10,10,10,10,10,10
10,0,10,10,10,30,10,0,0,10,10,10
0,10,10,10,0,0,0,0,10,0,10,10
10,20,20,10,10,10,10,20,30,20,20,20
10,10,20,20,20,10,10,10,20,10,20,10
50,10,10,10,20,20,20,20,110,50,10,10
10,10,20,10,10,20,20,10,10,20,10,10
10,10,10,20,20,30,20,20,20,30,20,20
10,0,0,0,10,0,0,10,10,10,10,0
20,20,20,10,10,20,20,10,20,20,20,10
20,10,10,10,10,10,10,10,10,30,30,20
20,20,10,10,10,20,30,10,10,20,20,30
30,20,10,10,10,10,20,10,10,10,20,20
10,10,10,10,10,10,10,20,10,10,10,0
10,10,10,10,10,10,20,40,70,20,10,10
10,40,20,20,20,20,30,50,20,10,10,10
10,10,10,20,20,40,40,50,50,20,10,10
10,0,10,10,10,10,10,10,10,20,20,20
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,20,30,20,10,10,10,10
30,50,110,140,50,70,90,70,20,10,10,10
70,20,20,10,10,10,10,0,10,0,10,10
10,10,20,10,10,10,20,10,10,10,10,10
10,10,10,10,10,10,10,10,30,10,10,10
10,10,10,10,10,10,10,30,30,70,50,20
10,10,0,10,10,10,10,10,40,30,20,10
40,30,10,20,30,30,50,70,90,110,90,90
10,10,10,10,10,20,50,110,90,40,10,10
10,0,10,10,10,10,10,10,20,10,20,10
20,10,20,10,10,20,20,20,20,20,30,30
10,10,50,10,10,70,20,590,90,10,10,10
10,10,10,10,10,10,20,10,10,10,10,10
10,10,10,10,10,10,10,20,30,20,20,20
30,10,30,30,20,30,20,20,40,30,30,40
20,10,10,0,10,0,10,10,10,10,10,10
10,10,10,10,10,10,10,10,30,20,70,30
30,10,20,10,10,10,20,10,70,50,20,10
30,10,10,10,10,10,10,10,10,10,50,50
30,40,10,20,30,10,20,20,30,20,30,40
10,10,10,10,10,10,0,10,20,10,10,10
20,30,20,30,10,10,20,20,20,10,10,10
10,10,10,0,10,0,10,10,0,0,10,10
10,10,10,10,10,10,10,30,10,10,10,10
70,10,10,0,0,10,0,10,10,10,10,10
30,40,30,30,20,20,10,20,20,10,20,20
10,40,10,0,0,10,10,0,10,10,0,10
74000,90500,74000,90500,74000,110000,110000,246000,110000,74000,90500,90500
10,10,10,10,10,10,10,10,10,10,10,10
10,0,0,0,0,0,10,0,0,10,10,10
0,10,10,10,10,0,0,0,0,0,0,0
40,40,30,40,50,50,50,40,30,30,40,50
20,10,10,20,20,10,20,30,20,20,20,10
10,10,10,10,10,10,20,20,10,10,10,0
10,10,20,20,10,10,10,10,10,10,10,10
10,10,10,0,0,10,10,10,10,0,10,10
10,10,90,20,10,20,20,210,20,10,10,10
20,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,20,0,10,10,10
10,10,20,10,10,10,10,170,20,10,10,10
20,10,20,10,10,10,10,10,10,10,30,40
20,10,10,20,10,10,30,20,20,10,20,20
10,10,0,10,10,10,10,10,20,30,10,20
10,10,10,10,10,10,10,10,10,10,10,10
10,0,10,10,10,20,20,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
0,0,0,0,0,0,0,0,0,10,0,0
10,10,20,10,20,10,10,10,20,20,20,30
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,20,30,10,10,10,20,10
10,0,10,10,10,10,10,10,10,10,10,10
20,20,20,20,30,20,20,20,30,30,20,10
10,20,10,20,40,50,70,30,20,30,30,40
10,10,10,10,10,0,0,10,10,10,10,10
0,0,10,0,0,0,0,10,10,10,10,10
20,20,10,10,20,10,20,20,20,20,20,30
0,10,0,10,10,10,10,10,10,10,10,10
10,10,10,10,10,0,10,10,10,10,10,10
10,10,10,10,10,10,10,30,10,10,10,10
20,20,20,20,20,10,20,10,10,10,10,20
20,30,30,20,40,30,40,390,70,40,50,40
10,10,10,10,10,10,10,10,10,10,10,10
10,20,20,10,10,10,10,10,10,20,10,10
20,10,10,10,10,10,20,10,10,10,10,10
10,10,30,30,20,20,20,20,10,10,20,10
10,0,10,10,10,0,10,10,10,10,0,10
10,0,0,0,0,0,0,0,0,0,0,0
10,10,0,10,10,0,0,10,10,10,10,0
10,10,10,10,10,10,10,10,10,10,10,10
10,20,20,10,10,10,20,10,10,10,10,10
10,10,0,0,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
20,20,10,30,40,20,50,140,70,40,40,40
20,10,10,10,10,10,10,20,10,10,10,10
10,10,10,0,0,10,10,10,10,30,10,10
10,10,10,10,10,10,10,10,10,0,10,10
10,10,10,10,10,10,10,10,10,10,20,20
10,10,0,10,10,10,10,10,10,10,10,10
10,0,10,10,0,10,10,30,20,20,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,20,10,10,10,10,10,10
0,0,10,10,0,10,10,10,10,10,10,10
0,10,10,0,0,0,0,0,0,10,10,0
10,10,10,10,0,0,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,20,10,10,10,10
0,0,0,0,0,0,0,10,0,0,10,10
10,10,10,0,0,10,10,10,0,0,10,10
0,10,10,10,10,0,10,0,0,10,0,10
0,10,10,0,0,0,0,0,0,0,0,0
10,10,10,10,10,10,10,10,0,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
0,0,10,10,0,0,10,10,10,0,10,0
10,10,0,0,0,0,0,0,10,0,10,10
0,0,10,10,10,10,0,10,10,0,0,10
0,10,0,0,0,0,0,10,0,0,0,0
